1个女性,1girl
1个女孩,1girl
1个女生,1girl
1女性,1girl
1女孩,1girl
1女生,1girl
一个女性,1girl
一个女孩,1girl
一个女生,1girl
一女性,1girl
一女孩,1girl
一女生,1girl
女性,1girl
女孩,1girl
女生,1girl
1个男性,1boy
1个男孩,1boy
1个男生,1boy
1男性,1boy
1男孩,1boy
1男生,1boy
一个男性,1boy
一个男孩,1boy
一个男生,1boy
一男性,1boy
一男孩,1boy
一男生,1boy
男性,1boy
男孩,1boy
男生,1boy
单独人物,solo
单人,solo
杰作,masterpiece
最佳质量,best quality
官方艺术,official art
非常详细的CG统一8k壁纸,extremely detailed CG unity 8k wallpaper
非常详细,extremely detailed
8k壁纸,8k wallpaper
壁纸,wallpaper
插画,illustration
风景,landscape
窗户,window
长发,long_hair
乳房,breasts
看向阅图者,looking_at_viewer
脸红,blush
微笑,smile
笑容,smile
短发,short_hair
张嘴的,open_mouth
刘海,bangs
蓝眼睛,blue_eyes
多个女孩,multiple_girls
短裙,skirt
金发,blonde_hair
巨乳,large_breasts
棕色头发,brown_hair
朴素的背景,simple_background
衬衫,shirt
黑发,black_hair
发饰,hair_ornament
红眼睛,red_eyes
含过膝袜和裤袜,thighhighs
帽子,hat
手套,gloves
长袖,long_sleeves
白色背景,white_background
连衣裙,dress
丝带,ribbon
缎带,ribbon
蝴蝶结,bow
肚脐,navel
2个女性,2girls
拿着某物,holding
兽耳,animal_ears
乳沟,cleavage
延伸到两眼之间的刘海,hair_between_eyes
露肩,bare_shoulders
棕色的眼睛,brown_eyes
双马尾,twintails
普通罩杯的胸,medium_breasts
珠宝,jewelry
坐,sitting
很长的头发,very_long_hair
内衣,underwear
闭着的嘴,closed_mouth
乳头,nipples
校服,school_uniform
绿色的眼镜,green_eyes
蓝色头发,blue_hair
站立的,standing
紫色的眼睛,purple_eyes
锁骨,collarbone
内裤,panties
短裤,panties
裤袜,panties
单色画,monochrome
尾巴,tail
夹克,jacket
泳装,swimsuit
全身,full_body
画出了全身,full_body
闭上的眼睛,closed_eyes
